Opportunity__c,Name,AccountId,Ownership__c,Annual_Hours__c
0061G00000J6IK6QAN,FIAS,001OF00000IkAtGYAV,0.03125,25
0061G00000NcaxwQAB,GNAS,001OF00000IGTLUYA5,0.03125,25
0061G00000Nu6QxQAJ,FIAS,001OF00000ImOlgYAF,0.03125,50
006OF00000BPF8nYAH,FNAS,001OF00000ImHvVYAV,0.09,125
0061G00000J6pInQAJ,FSFO,001OF00000IfpYsYAJ,0.015,25
006OF00000J9c1ZYAR,FSRX,0011G00000vibZ3QAI,0.025,25
0061G00000J82ZgQAJ,GASK,001OF00000IGTLUYA5,0.0312,75
0061G00000JHAPkQAP,GZAS,001OF00000Ioq13YAB,0.015,25
0061G00000JHBk5QAH,FJAS,001OF00000IfWg4YAF,0.09,25
0061G00000JIONtQAP,FASP,001OF00000IkA5HYAV,0.0312,25
0061G00000Nv2VQQAZ,GBAS,001OF00000IVUNgYAP,0.03125,25
0061G00000QktA9QAJ,GFFS,001OF00000IkAtGYAV,0.03125,25
,FSRX,001OF00000Ip5kvYAB,0.03125,25
0061G00000JIgS8QAL,GASK,0011G00000vibZ3QAI,0.03125,25
0061G00000QXt95QAD,FSNY,001OF00000JN4nzYAD,0.03125,25
0061G00000JJ3Y5QAL,GAAS,001OF00000IGTLUYA5,0.09,25
0061G00000JilUzQAJ,FASP,001OF00000IsolUYAR,0.09,25
0061G00000LTZmiQAH,GASR,001OF00000JN4nzYAD,0.09,25
,FSNP,001OF00000IfWg4YAF,0.09,25
0061G00000JJUtiQAH,FASW,001OF00000IMTqfYAH,0.09,25
0061G00000ONUZkQAP,FSNP,001OF00000ImOlgYAF,0.03125,50
,FSFP,001OF00000ImOlgYAF,0.03125,25
0061G00000JJkgSQAT,GAAS,001OF00000IfpYsYAJ,0.015,25
0061G00000NccgjQAB,GASE,001OF00000IdyEuYAJ,0.015,50
0061G00000Oj0igQAB,FSFP,0011G00000vibZ3QAI,0.015,50
0063700000H3V7WAAV,FASF,001OF00000IkA5HYAV,0.03125,25
0061G00000JfrgJQAR,GAAS,001OF00000IhzM4YAJ,0.03125,25
,FASF,001OF00000IVUNgYAP,0.03125,50
0061G00000Jg5GnQAJ,GASK,001OF00000IkA5HYAV,0.03125,25
0061G00000JgCZsQAN,FASP,001OF00000JN4nzYAD,0.03125,25
006OF00000HZuP3YAL,FIAS,001OF00000IfWg4YAF,0.03125,25
0061G00000QZjdAQAT,GNAS,001OF00000IfKIFYA3,0.015,25
0061G00000QZje3QAD,GFFS,001OF00000IfKIFYA3,0.015,75
006OF00000BogVcYAJ,FSDN,001OF00000Ioq13YAB,0.015,50
006OF00000EpUteYAF,FSRX,001OF00000IVUNgYAP,0.03125,25
0061G00000JgrHUQAZ,GZAS,001OF00000IdyEuYAJ,0.03125,25
0061G00000QkZgEQAV,GASR,001OF00000IkA5HYAV,0.03125,25
,FSNY,001OF00000INEPhYAP,0.09,50
0061G00000JgtMnQAJ,FIAS,001OF00000IdyEuYAJ,0.012,25
0061G00000NbC5vQAF,GXAS,001OF00000JN4nzYAD,0.012,50
0061G00000OkH0pQAF,FSRX,001OF00000IsolUYAR,0.015,25
0061G00000JhZDoQAN,FIAS,001OF00000IGTLUYA5,0.015,25
0061G00000NeVGVQA3,FASR,001OF00000IVUNgYAP,0.03125,25
0061G00000NdTh4QAF,GNAS,001OF00000JN4nzYAD,0.09,25
0061G00000NegFSQAZ,GNAS,001OF00000IMTqfYAH,0.09,25
0061G00000QXbRBQA1,GFFS,001OF00000INEPhYAP,0.09,25
,GAAS,001OF00000IfKIFYA3,0.09,25
0061G00000JhY4gQAF,GASR,001OF00000IfWg4YAF,0.03125,25
,FASP,0011G00000vibZ3QAI,0.03125,25
0061G00000JhaNfQAJ,FASP,001OF00000Ioq13YAB,0.015,50
0061G00000JhiZGQAZ,GAAS,001OF00000IMTqfYAH,0.015,25
0061G00000JhiaYQAR,GAAS,001OF00000Ip5kvYAB,0.015,25
